id;fr_fr
6065;Essais de Khadgar sur la convergence dimensionnelle
6072;Tête du khan Jehn
6076;Pantalon moulant
6068;Recette : Huile des ténèbres
6086;Sérum de vérité de Faustin
6093;Ecras'orc
6117;Chemise d'écuyer
6067;Oreille de centaure
6079;Charme brut
6083;Larmes brisées
6089;Bière de Zraedus
6071;Cristal de draenéthyste
6073;Tête du khan Shaka
6075;Rapport de Vimaire
6084;Jambières de garde de Hurlevent
6077;Fragment de clé des Maraudine
6081;Champignon de Boueux
6094;Hache perforante
6097;Chemise d'acolyte
6080;Cœur de panthère des ombres
6238;Robe marron en lin
6427;Robe de Longuebrume
6443;Peau de déviant
6082;Sang de dragonnet vert
6091;Caisse de pierres de puissance
6095;Bottes d'errance
6096;Chemise d'apprenti
6098;Robe de néophyte
6120;Chemise de recrue
6247;Corne de Fielfurie
6269;Chausses de pionnier
6119;Robe de néophyte
6122;Bottes de recrue
6242;Robe bleue en lin
6266;Gilet de disciple
6121;Pantalon de recrue
6116;Robe d'apprenti
6147;Vieille ceinture miteuse
6148;Bottes poussiéreuses
6118;Pantalon d'écuyer
6125;Harnais de bagarreur
6135;Kilt primitif
6136;Chemise du trappeur
6123;Robe de novice
6146;Bois flotté séché au soleil
6180;Peau de Slark
6185;Châle de l'ours
6124;Pantalon de novice
6126;Pantalon du trappeur
6127;Bottes du trappeur
6129;Robe d'acolyte
6134;Mantelet primitif
6139;Robe de novice
6144;Robe de néophyte
6149;Potion de mana supérieure
6137;Pantalon de nervi
6138;Bottes du trappeur
6140;Robe d'apprenti
6145;Pendentif de Clarice
6150;Nœud en tissu râpé
6166;Mâchoire de coyote
6168;Griffe de Mordeur dents-de-scie
6169;Flanc de Dents-de-scie non préparé
6167;Rapport de Neeka
6170;Composants pour les sorciers
6171;Gants d'éleveur de loups
6173;Bottes des neiges
6174;Epée aléatoire de Twain
6175;Artéfact atal'ai
6176;Grand écu nain
6177;Brassards en fer forgé
6178;Cargaison de Rempart-du-Néant
6181;Fétiche d'Hakkar
6184;Patte de clampant monstrueux
6187;Défenseur nain
6179;Cape de corsaire
6219;Clé plate
6240;Gilet bleu en lin
6258;Foie de Ferpoil
6186;Tranchoir de trogg
6194;Faucheuse fulgurante
6196;Casse-tête de Noboru
6199;Bague de la veuve noire
6189;Epaulières en mailles durables
6190;Fragment de draenéthyste
6191;Bottes de Kimbra
6193;Artéfacts atal'ai
6195;Armure polie à la cire
6197;Broigne en peau de croco du Loch
6198;Garde-poignets jurassiques
6201;Bottes souples
6200;Ceinture de guerre de Garneg
6202;Mitaines blindées
6204;Coiffure tribale worg
6206;Brèche-roc
6203;Bouclier des nervis
6205;Pelle
6217;Bâtonnet en cuivre
6220;Éclat de météore
6211;Recette : Élixir de force d'ogre
6212;Tête de Jammal'an
6214;Maillet lourd en cuivre
6215;Trique de combat équilibrée
6218;Bâtonnet runique en cuivre
6241;Robe blanche en lin
6252;Sang de garde funeste
6257;Gésier de roc
6223;Cimier de Sombre-Comté
6226;Tablier sanglant
6239;Gilet rouge en lin
6248;Venin scorpashi
6243;Robe verte en laine
6364;Poisson-chat de 32 livres
6368;Recette : Thon arc-en-ciel
6370;Huile de bouche-noire
6245;Sacoche de Karnitol
6267;Pantalon de disciple
6275;Patron : Robe d'adepte supérieur
6281;Crâne de Cliquethorax
6253;Caisse de Leftwitch
6256;Canne à pêche
6259;Foie de Groddoc
6261;Teinture orange
6249;Cuir de vieux kodo
6264;Robe d'adepte supérieur
6272;Patron : Robe bleue en lin
6283;Le Livre d'Ur
6263;Salopette bleue
6362;Morue rochécaille crue
6424;Cape forgenoire
6429;Chapeau de sorcier de Longuebrume
6268;Tunique de pionnier
6285;Grimoire d'Egalin
6288;Tablette atal'ai
6291;Goujon brillant cru
6270;Patron : Gilet bleu en lin
6273;Patron : Robe verte en laine
6282;Chausses de rituel funéraire
6292;Lutjan de 10 livres
6271;Patron : Gilet rouge en lin
6274;Patron : Salopette bleue
6284;Runes d'invocation
6286;Cœurs purs
6287;Fragment de tablette atal'ai
6289;Lutjan à longue mâchoire cru
6296;Poils de chauve-souris
6295;Lutjan de 15 livres
6290;Goujon brillant
6320;Cimier de commandant
6358;Bouche-noire huileux
6428;Gants de Longuebrume
6293;Sang séché de chauve-souris
6301;Crâne du vieux Teamster
6303;Maquereau ombré cru
6305;Page de journal humide (Jour 87)
6294;Lutjan de 12 livres
6297;Vieux crâne
6299;Poisson maladif
6298;Croc sanglant de chauve-souris
6300;Fragment de peau
6302;Aile d'insecte délicate
6307;Message dans une bouteille
6312;Cœur de Dalin
6304;Page de journal humide (Jour 4)
6306;Page de journal humide (Jour 512)
6308;Poisson-chat moustachu cru
6315;Arbalète à traits d'acier
6309;Poisson-chat de 17 livres
6310;Poisson-chat de 19 livres
6311;Poisson-chat de 22 livres
6313;Cœur de Comar
6314;Cape de maître des loups
6316;Délice de furie du loch
6317;Furie du loch crue
6321;Sceau de la famille d'Argelaine
6318;Bâton tellurique d'Odo
6324;Robe d'Arugal
6326;Recette : Maquereau ombré
6332;Anneau à la perle noire
6319;Ceinturon du guetteur aveugle
6325;Recette : Goujon brillant
6327;Le Pacificateur
6328;Recette : Lutjan à longue mâchoire
6323;Sceptre du baron
6329;Recette : Délice de furie du loch
6331;Lame hurlante
6333;Dague du fouet épineux
6330;Recette : Poisson-chat moustachu
6350;Bottes grossières en bronze
6357;Caisse scellée
6399;Epaulières blasonnées
6335;Bottes grisonnantes
6336;Tunique d'infanterie
6340;Peau de Fenrus
6347;Formule : Enchantement de brassards (Force mineure)
6337;Jambières d'infanterie
6338;Bâtonnet en argent
6339;Bâtonnet runique en argent
6341;Lanterne d'écurie sinistre
6342;Formule : Enchantement de plastron (Mana mineur)
6344;Formule : Enchantement de brassards (Polyvalence mineure)
6346;Formule : Enchantement de plastron (Mana inférieur)
6349;Formule : Enchantement d'arme 2M (Intelligence inférieure)
6348;Formule : Enchantement d'arme (Tueur de bête mineur)
6351;Caisse endommagée
6352;Caisse détrempée
6353;Petit coffre
6354;Petit coffre verrouillé
6355;Coffre solide verrouillé
6363;Poisson-chat de 26 livres
6365;Canne à pêche solide
6356;Coffre endommagé
6398;Ceinture blasonnée
6419;Mitaines glyphées
6460;Torsade de Cobrahn
6359;Lutjan de nagefeu
6420;Bottes glyphées
6432;Cape impériale
6433;Heaume impérial en cuir
6360;Poisson aux écailles d'acier
6426;Brassards forgenoire
6457;Mécanismes rouillés
6536;Gilet du saule
6361;Thon arc-en-ciel cru
6366;Canne à pêche en sombrebois
6369;Recette : Morue rochécaille
6371;Huile de feu
6367;Grande canne à pêche en fer
6386;Garde-jambes en mailles rougeoyantes
6388;Espauliers en mailles rougeoyantes
6390;Patron : Chemise bleue d'apparat
6372;Potion de nage rapide
6373;Élixir de maîtrise du Feu
6377;Formule : Enchantement de bottes (Agilité mineure)
6378;Cape de voyant
6375;Formule : Enchantement de brassards (Polyvalence inférieure)
6379;Ceinture en cuir gravé
6382;Ceinture sylvestre en cuir
6383;Targe sylvestre
6380;Targe gravée
6381;Cape éclatante
6384;Chemise bleue d'apparat
6396;Plastron blasonné
6385;Chemise verte d'apparat
6387;Brassards en mailles rougeoyantes
6389;Camail en mailles rougeoyantes
6392;Ceinture d'Arugal
6391;Patron : Chemise verte d'apparat
6397;Gants blasonnés
6400;Bouclier rougeoyant
6401;Patron : Chemise noire en soie
6393;Gants brochés d'argent
6394;Bottes brochées d'argent
6395;Amict broché d'argent
6425;Ceinturon forgenoire
6402;Jambières de guerre en mailles
6404;Spallières de guerre en mailles
6405;Chausses nocturnes
6409;Ceinture à insigne
6403;Garde-bras de guerre en mailles
6406;Bottes nocturnes
6407;Protège-poignets nocturnes
6408;Gants à insigne
6410;Brassards à insigne
6411;Armure de général de brigade
6413;Brassards de général de brigade
6415;Robe de l'aurore
6412;Bottes de général de brigade
6414;Sceau de Sylvanas
6417;Cape de l'aurore
6418;Echarpe de l'aurore
6416;Bottes de l'aurore
6421;Ceinture glyphée
6430;Cuirasse impériale en cuir
6431;Bottes impériales en cuir
6422;Heaume glyphé
6462;Caisse sûre
6538;Robe du saule
6542;Cape du saule
6423;Grèves forgenoire
6459;Bottines sauvages
6475;Patron : Gants en écailles de déviant
6476;Patron : Ceinture en écailles de déviant
6436;Gemme ardente
6439;Bracelets brisés
6440;Fouette-méninges
6455;Vieille roue
6435;Gemme ardente infusée
6438;Bracelet élémentaire terne
6445;Peau de mue
6448;Dard
6441;Scalp de traqueur des ombres
6444;Langue fourchue
6453;Sérum anti-venin supérieur
6533;Attracteur de poissons aquadynamique
6442;Cristal d'oracle
6456;Gelée acide
6535;Tablette de Verga
7111;Armure nocturne
6446;Sac en serpent
6447;Bouclier en écailles de tortue usé
6449;Cape en écailles de lézard luminescentes
6450;Bandage en soie
6451;Bandage épais en soie
6454;Manuel : Sérum anti-venin supérieur
6466;Cape en écailles de déviant
6467;Gants en écailles de déviant
6452;Sérum anti-venin
6537;Bottes du saule
6577;Gantelets de défenseur
6776;Tome de valeur
6458;Poisson huileux
6464;Essence de lamentation
6471;Ecaille de déviant parfaite
6473;Armure du Croc
6463;Anneau des grandes profondeurs
6465;Robe du mocassin d'eau
6461;Ailettes visqueuses
6468;Ceinture en écailles de déviant
6469;Frappe-venin
6470;Ecaille de déviant
6474;Patron : Cape en écailles de déviant
6477;Echarpe de la prairie
6472;Vipère cinglante
6480;Jambières luisantes de déviant
6486;Ecaille roussie
6491;Parchemin épais
6481;Gantelets Fangebourbe
6503;Robe bigarrée
6504;Lame ailée
6505;Bâton au croissant
6479;Pendentif de Malem
6487;Tête de Vil quasit
6488;Tablette simple
6500;Cuir de kodo gravé
6482;Bottes de marchefeu
6501;Cuir de kodo gravé
6510;Gantelets d'infanterie
6521;Gants de pionnier
6495;Parchemin détrempé
6498;Cuir de kodo gravé
6502;Broigne pourpre
6507;Brassards d'infanterie
6506;Bottes d'infanterie
6509;Ceinture d'infanterie
6520;Cape de pionnier
6523;Harnais à boucle
6508;Cape d'infanterie
6511;Robe de compagnon
6534;Barres d'acier forgé
6563;Brassards chatoyants
6513;Echarpe de disciple
6522;Poisson déviant
6530;Asticots
6543;Brassards du saule
6512;Robe de disciple
6514;Cape de disciple
6515;Gants de disciple
6516;Parchemin d'invocation de diablotin
6517;Ceinture de pionnier
6518;Bottes de pionnier
6519;Brassards de pionnier
6532;Verroterie
6525;Harnais de grunt
6524;Harnais en cuir clouté
6526;Harnais de combat
6527;Robe ancestrale
6528;Robe de lieur de sort
6529;Verroterie rutilante
7116;Dague de l'héritier
7126;Lingot de fer cendré
6531;Robe barbare en tissu
6562;Bottes chatoyantes
6567;Armure chatoyante
6575;Cape de défenseur
6539;Ceinture du saule
6541;Gants du saule
6545;Armure de soldat
6553;Chausses de barde
6540;Pantalon du saule
6547;Gantelets de soldat
6549;Cape de soldat
6550;Garde-poignets de soldat
6546;Jambières de soldat
6552;Tunique de barde
6555;Cape de barde
6576;Ceinturon de défenseur
6548;Ceinturon de soldat
6551;Bottes de soldat
6560;Bouclier de soldat
6566;Amict chatoyant
6554;Gants de barde
6556;Brassards de barde
6558;Ceinture de barde
6564;Cape chatoyante
6557;Bottes de barde
6559;Targe de barde
6570;Echarpe chatoyante
6578;Jambières de défenseur
6561;Gambison de voyant
6574;Brassards de défenseur
6569;Robe chatoyante
6581;Ceinture de l'éclaireur
6565;Gants chatoyants
6572;Bouclier de défenseur
7073;Croc brisé
7079;Globe d'eau
6571;Targe de l'éclaireur
6568;Chausses chatoyantes
6580;Tunique de défenseur
6588;Spallières de l'éclaireur
6573;Bottes de défenseur
7118;Epée de l'héritier
7128;Sabot fendu de Satyre
7131;Tibia gueule-de-dragon
6579;Spallières de défenseur
6585;Cape de l'éclaireur
6590;Bottes de forgeguerre
6602;Brassards de derviche
6582;Bottes de l'éclaireur
6587;Chausses de l'éclaireur
6586;Gants de l'éclaireur
6584;Tunique de l'éclaireur
6583;Brassards de l'éclaireur
6592;Armure de forgeguerre
6594;Ceinturon de forgeguerre
6597;Garde-épaules de forgeguerre
6591;Garde-poignets de forgeguerre
6596;Garde-jambes de forgeguerre
6600;Ceinture de derviche
6604;Cape de derviche
6593;Cape de forgeguerre
6598;Targe de derviche
6595;Gantelets de forgeguerre
6601;Bottes de derviche
6599;Bouclier de forgeguerre
6655;Braise rougeoyante
6659;Chausses du scarabée
6661;Recette : Délice de déviant
6603;Tunique de derviche
6612;Bottes de sage
6613;Brassards de sage
6616;Pantalon de sage
6605;Gants de derviche
6607;Jambières de derviche
6609;Défroque de sage
6610;Robe de sage
6608;Armure éclatante
6611;Echarpe de sage
6614;Cape de sage
6642;Armure fantôme
6615;Gants de sage
6630;Targe sème-nuées
6631;Racine vivante
6633;Tranchoir du boucher
6617;Mantelet de sage
6622;Epée de zèle
6624;Breuvage de Ken'zigla
6625;Pendentif couvert de poussière
6626;Pendentif de Dogran
6627;Cuirasse mutante
6628;Serres du corbeau
6629;Cape des spores
6632;Cape d'écailles-faë
6635;Sapta de terre
6636;Sapta de feu
6637;Sapta d'eau
6634;Baume rituel
6640;Sabot de traqueur gangrené
6645;Lutjan boursouflé
6651;Bouteille de vin brisée
6641;Lame de hantise
6654;Torche de la flamme éternelle
6656;Quartz brut
6658;Spécimen de collier
6643;Sardine boursouflée
6647;Poisson-chat boursouflé
6650;Parchemin de totem guérisseur
6652;Bourse de réactifs
6653;Torche de la flamme dormante
6657;Délice de déviant
6666;Bottes de boueux
6668;Bottes de conscrit
6660;Dague de Julie
6662;Élixir de taille de géant
6663;Recette : Élixir de taille de géant
6664;Mantelet vaudou
6665;Brassards maléficiés
6669;Bague sacrée
6671;Jambières du mastodonte
6686;Heaume du phacochère
6667;Cape d'ingénieur
6672;Schéma : Bombe éclairante
6675;Brassards trempés
6677;Baguette de sortilège
6670;Armure de la panthère
6676;Targe du connétable
6678;Bague de grâce elfique
6685;Mantelet de nécrorateur
6679;Perce-armure
6681;Fleur d'épines
6682;Robe de nécrorateur
6684;Bâton de commandement de Sniffetarin
6687;Charognarde
6692;Déchireuse à crocs
6693;Anneau d'Agamaggan
6694;Cœur d'Agamaggan
6688;Coiffure de Murmevent
6691;Surin de brochepourceau
6695;Amulette stygienne en os
6696;Arc de traqueur nocturne
6689;Bâton d'esprit du vent
6690;Jambières de Ferine
6709;Gilet lueur-de-lune
6722;Maniques bestiales
6697;Mantelet d'aile de chauve-souris
6710;Patron : Gilet Lueur-de-lune
6712;Boîte mécanique
6715;Défibrillateur abîmé
6713;Pantalon déchiré
6741;Epée de guerre orque
6742;Ceinturon Poing-de-pierre
6746;Targe de basalte
6714;Dynamite Ev-Lan
6716;Schéma : Dynamite Ev-Lan
6720;Coiffure de chasseur d'esprit
6732;Gants de mécanicien gnome
6719;Ceinture des vents
6718;Electropeller
6717;Rouage électrique
6721;Pansière de Kor
6723;Médaille de courage
6726;Ceinture de sécurité personnalisée de Razzeric
6725;Targe marbrée
6727;Gants de course de Razzeric
6729;Boutefeu de Féplouf
6730;Cotte d'anneaux de Forgefer
6733;Gantelets de Forgefer
6734;Plans : Cotte d'anneaux de Forgefer
6731;Cuirasse de Forgefer
6735;Plans : Cuirasse de Forgefer
6738;Croissant sanglant
6739;Visée de Cours-les-falaises
6737;Pantalon des feuilles sèches
6736;Plans : Gantelets de Forgefer
6748;Anneau du singe
6774;Doigt d'Uthek
6740;Echarpe azur
6743;Anneau de soutien
6747;Espauliers de massacreur
6745;Cape de vélocité
6744;Gants de Kapelan
6749;Bague du tigre
6755;Un petit coffre de gemmes
6752;Bottes de lancier
6751;Châle de deuil
6756;Boîte à bijoux
6773;Cotte d'anneaux de maraudeur gelkis
6947;Fiole de poison vide
6750;Arceau du serpent
6753;Charme de plume
6767;Pendentif de Tyranis
6794;Gants fauves
6757;Chevalière de Jaina
6766;Peau de démon écorché (vieille2)
6780;Echarpe lilas
6782;Ecusson du maréchal Haggard
6775;Tome de divinité
6795;Chemise blanche de bretteur
6796;Chemise rouge de bretteur
6798;Haquebute explosive
6783;Clé de Dent-Morte
6793;Brassards d'Auric
6807;Brouet de cuisses de grenouille
6828;Targe du visionnaire
6784;Garde-mains à fermoir
6785;Puissance du Vide
6787;Robe blanche en laine
6792;Espauliers sanguins
6781;Tasse de Bartleby
6786;Jupe simple
6788;Ceinture de chasseur de Magram
6789;Couverture de cérémonie centaure
6790;Anneau de calme
6791;Bottes d'Hellion
6800;Minerai ombreux
6804;Marteau de Ventehurle
6797;Pique-œil
6799;Tête de Vejrek
6801;Tablier baroque
6805;Corne de Vorlus
6802;Epée de présage
6803;Canne du Prophète
6806;Flamme dansante
6808;Minerai d'élunite
6809;Médaillon d'Elura
6810;Foulard de Surena
6812;Caisse d'Elunite
6826;Ecaille brillante
6811;Oeil de poisson aquadynamique
6827;Boîte de fournitures
6832;Cape du chancre
6833;Chemise blanche de smoking
6829;Epée de sérénité
6830;Mordos
6831;Menace noire
6836;Chaussures habillées
6834;Smoking noir
6835;Pantalon de smoking noir
6839;Corne carbonisée
6840;Corne galvanisée
6838;Croc d'araignée brûlé
6908;Lien de Ghamoo-Ra
6911;Cordelière de mousse
6916;Tome de divinité
6841;Fiole de Phlogiston
6847;Document sombrefer
6846;Script défias
6849;Coquille brûlée par le soleil
6842;Instructions de Furen
6843;Barrique de Scalder
6844;Sang ardent
6845;Roc ardent
6848;Corail torride
6889;Petit œuf
6888;Œufs aux herbes
6900;Robe sanglante dorée enchantée
6851;Essence d'exil
6866;Symbole de vie
6887;Jaune-queue tacheté
6890;Viande d'ours fumée
6891;Recette : Œufs aux herbes
6892;Recette : Viande d'ours fumée
6894;Cœur de tourbillon
6895;Marteau de forge de Jordan
6898;Orbe de Soran'ruk
6904;Morsure de Serra'kis
6905;Hache des récifs
6907;Armure de la tortue
6901;Cape luminescente du batteur
6903;Pantalon du rêveur
6902;Poignets de Serra'kis
6906;Poings d'algues
6909;Frappe de l'hydre
6913;Noyau du cœur du bois
6915;Grand fragment de Soran'ruk
6928;Echarpe de pierre de sang
6912;Cœur du bois
6927;Oreille du Grand Will
6949;Fiole de poison vide
6974;Gantelets en acier trempé
6910;Pantalon de sangsue
6931;Tome moisi
6930;Bâtonnet de canalisation
6948;Pierre de foyer
6914;Fragment de Soran'ruk
6926;Notes de Furen
6953;Poing de Verigan
6967;Epée en élunite
6929;Parchemin de Bath'rah
6952;Fourrure d'ours épaisse
6966;Hache en élunite
6968;Marteau en élunite
6950;Fiole de poison vide
6973;Jambières en acier trempé
7056;Cape cramoisie en soie
7058;Gilet cramoisi en soie
6951;Poison de distraction mentale
6970;Faveur de Furen
7003;Pinces de hanneton
7055;Ceinture cramoisie en soie
6971;Camail en acier trempé
6979;Hache de Haggard
6981;Dague ombreuse
6984;Epée ombreuse
6972;Haubert en acier trempé
7070;Eau élémentaire
7083;Gemme de Kor purifiée
7094;Branche de bois flottant
6975;Hache tourbillonnante
6977;Epée du tourbillon
6976;Marteau de guerre du tourbillon
6983;Marteau d'Haggard
6969;Dague en élunite
6978;Hache ombreuse
6980;Dague de Haggard
6985;Epée de Haggard
6986;Lotus cramoisi
6989;Fiole de sang de Fielfurie
6992;Cargaison de minerai de Jordan
6994;Bois de chêne de blanchepierre
6982;Masse ombreuse
6990;Pierre d'Infernal inférieure
6991;Charbon ardent
6993;Cargaison de minerai raffiné de Jordan
6995;Gemme de Kor corrompue
6996;Notes sur les armes de Jordan
6998;Bottes du nimbus
7001;Sceptre de la pierre tombale
6997;Manuscrit en lambeaux
7000;Ceinturon de cœur du bois
6999;Tome de la Cabale
7006;Tome reconstitué
7002;Targe arctique
7054;Robe de puissance
7072;Ecaille de Naga
7075;Noyau de terre
7004;Cape de prélat
7005;Couteau à dépecer
7027;Bottes des ténèbres
7046;Pantalon azur en soie
7026;Ceinture en lin
7053;Cape azur en soie
7069;Air élémentaire
7114;Patron : Gants azur en soie
7047;Mains des ténèbres
7048;Chaperon azur en soie
7049;Gants de vraie foi
7050;Bandeau en soie
7051;Gilet terrestre
7052;Ceinture azur en soie
7071;Boucle en fer
7080;Essence d'eau
7057;Epaulières vertes en soie
7059;Epaulières cramoisies en soie
7064;Gants cramoisis en soie
7067;Terre élémentaire
7060;Epaulières azur
7061;Ceinture terrestre en soie
7062;Culotte cramoisie en soie
7063;Robe cramoisie en soie
7065;Armure verte en soie
7068;Feu élémentaire
7074;Griffes émoussées
7076;Essence de terre
7077;Cœur de feu
7081;Souffle de vent
7082;Essence d'air
7084;Patron : Epaulières cramoisies en soie
7085;Patron : Epaulières d'azur
7086;Patron : Ceinture terrestre en soie
7089;Patron : Cape azur en soie
7090;Patron : Armure verte en soie
7087;Patron : Cape cramoisie en soie
7095;Bottes des tourbières
7099;Pinces endommagées
7107;Ceinture des étoiles
7088;Patron : Robe cramoisie en soie
7091;Patron : Gants de vraie foi
7092;Patron : Mains des ténèbres
7096;Plume arrachée
7093;Patron : Bottes des ténèbres
7097;Viande de mollet
7101;Oeil de bestiole
7108;Bouclier d'infanterie
7098;Défense brisée
7078;Essence de feu
7500;Clé inférieure de Gelkak
7506;Télécommande universelle gnome
7100;Ichor gluant
7113;Armure de Longuebrume
7228;Glace à la fraise d'Aguilor et Dagharn
7247;Caisse de coffres de stockage
7109;Targe de pionnier
7106;Gants du zodiaque
7120;Rempart de Ruga
7127;Azurite en poudre
7110;Armure brochée d'argent
7112;Armure de l'aurore
7341;Anneau à zircone cubique
7369;Robe de doyen
7115;Hache de l'héritier
7230;Marteau de châtiment puissant
7268;Echantillon d'eau de Xavian
7272;Roncier de foudre
7117;Marteau de l'héritier
7336;Cotte d'anneaux forestière
7349;Gants d'herboriste
7354;Bottes de doyen
7129;Gantelets de brutalité
7132;Garde-jambes de brutalité
7135;Tibia de Gueule-de-dragon cassé
7133;Haubert de brutalité
7130;Camail de brutalité
7188;Bouclier de garde de Hurlevent
7191;Câble avec fusible
7206;Echantillon d'eau du lac Miroir
7134;Solide tibia de Gueule-de-dragon
7189;Bottes-fusées gobelines
7229;Broigne d'explorateur
7271;Défense d'ivoire sans défaut
7148;Défibrillateur gobelin
7166;Dague en cuivre
7170;Epée aléatoire de Twain
7187;Bottes de VanCleef
7190;Bottes-fusée brûlées
7207;Flacon de Jennea
7208;Clé de Tazan
7227;Gueules-de-loup de Balnir
7209;Sacoche de Tazan
7226;Bidulotron de youplala
7334;Robe efflorescente
7371;Carquois lourd
7249;Gemme chargée de la faille
7267;Soie d'araignée en parfait état
7270;Cadavre de sœur rieuse
7274;Rituels du Pouvoir
7266;Traité d'Ur sur la Magie des Ombres
7292;Coffre de stockage rempli
7297;Fléau de Morbent
7328;Masse de Thun'grim
7269;Flacon de Deino
7294;Grand Livre d'Andron
7339;Anneau à minuscule diamant
7343;Clé de Bingles
7273;Bâton totem de Fanécorce
7278;Carquois en cuir léger
7279;Petite giberne en cuir
7282;Pantalon en cuir léger
7276;Cape cousue main en cuir
7277;Brassards cousus main en cuir
7280;Pantalon en cuir robuste
7281;Brassards en cuir léger
7283;Cape de dragonnet noir
7285;Gants d'agilité en cuir
7286;Ecaille de dragonnet noir
7291;Orbe infernal
7284;Gants en cuir de dragonnet rouge
7287;Ecaille de dragonnet rouge
7288;Patron : Pantalon en cuir robuste
7289;Patron : Cape de dragonnet noir
7290;Patron : Gants en cuir de dragonnet rouge
7296;Torche éteinte
7308;Chants de manifestation
7309;Rapport de situation de Dalaran
7293;Gemme de mana de Dalaran
7298;Lame de ruse
7306;Tête de Fenwick
7327;Dague de Thun'grim
7295;Journal des messages de Tazan
7330;Targe d'infiltrateur
7337;Le Rocher
7345;Tournevis de Bingles
7307;Ver mangeur de chair
